Year,Team,team_dir
2015,Golden State Warriors,/teams/GSW/2015.html
2015,Los Angeles Clippers,/teams/LAC/2015.html
2015,San Antonio Spurs,/teams/SAS/2015.html
2015,Atlanta Hawks,/teams/ATL/2015.html
2015,Portland Trail Blazers,/teams/POR/2015.html
2015,Cleveland Cavaliers,/teams/CLE/2015.html
2015,Houston Rockets,/teams/HOU/2015.html
2015,Memphis Grizzlies,/teams/MEM/2015.html
2015,Dallas Mavericks,/teams/DAL/2015.html
2015,Chicago Bulls,/teams/CHI/2015.html
2015,Toronto Raptors,/teams/TOR/2015.html
2015,Oklahoma City Thunder,/teams/OKC/2015.html
2015,New Orleans Pelicans,/teams/NOP/2015.html
2015,Utah Jazz,/teams/UTA/2015.html
2015,Washington Wizards,/teams/WAS/2015.html
2015,Indiana Pacers,/teams/IND/2015.html
2015,Milwaukee Bucks,/teams/MIL/2015.html
2015,Phoenix Suns,/teams/PHO/2015.html
2015,Boston Celtics,/teams/BOS/2015.html
2015,Detroit Pistons,/teams/DET/2015.html
2015,Denver Nuggets,/teams/DEN/2015.html
2015,Sacramento Kings,/teams/SAC/2015.html
2015,Brooklyn Nets,/teams/BRK/2015.html
2015,Miami Heat,/teams/MIA/2015.html
2015,Charlotte Hornets,/teams/CHO/2015.html
2015,Orlando Magic,/teams/ORL/2015.html
2015,Los Angeles Lakers,/teams/LAL/2015.html
2015,Minnesota Timberwolves,/teams/MIN/2015.html
2015,Philadelphia 76ers,/teams/PHI/2015.html
2015,New York Knicks,/teams/NYK/2015.html
2016,San Antonio Spurs,/teams/SAS/2016.html
2016,Golden State Warriors,/teams/GSW/2016.html
2016,Oklahoma City Thunder,/teams/OKC/2016.html
2016,Cleveland Cavaliers,/teams/CLE/2016.html
2016,Toronto Raptors,/teams/TOR/2016.html
2016,Los Angeles Clippers,/teams/LAC/2016.html
2016,Atlanta Hawks,/teams/ATL/2016.html
2016,Boston Celtics,/teams/BOS/2016.html
2016,Charlotte Hornets,/teams/CHO/2016.html
2016,Utah Jazz,/teams/UTA/2016.html
2016,Indiana Pacers,/teams/IND/2016.html
2016,Miami Heat,/teams/MIA/2016.html
2016,Portland Trail Blazers,/teams/POR/2016.html
2016,Detroit Pistons,/teams/DET/2016.html
2016,Houston Rockets,/teams/HOU/2016.html
2016,Dallas Mavericks,/teams/DAL/2016.html
2016,Washington Wizards,/teams/WAS/2016.html
2016,Chicago Bulls,/teams/CHI/2016.html
2016,Orlando Magic,/teams/ORL/2016.html
2016,Memphis Grizzlies,/teams/MEM/2016.html
2016,Sacramento Kings,/teams/SAC/2016.html
2016,Denver Nuggets,/teams/DEN/2016.html
2016,New York Knicks,/teams/NYK/2016.html
2016,New Orleans Pelicans,/teams/NOP/2016.html
2016,Minnesota Timberwolves,/teams/MIN/2016.html
2016,Milwaukee Bucks,/teams/MIL/2016.html
2016,Phoenix Suns,/teams/PHO/2016.html
2016,Brooklyn Nets,/teams/BRK/2016.html
2016,Los Angeles Lakers,/teams/LAL/2016.html
2016,Philadelphia 76ers,/teams/PHI/2016.html
2017,Golden State Warriors,/teams/GSW/2017.html
2017,San Antonio Spurs,/teams/SAS/2017.html
2017,Houston Rockets,/teams/HOU/2017.html
2017,Los Angeles Clippers,/teams/LAC/2017.html
2017,Utah Jazz,/teams/UTA/2017.html
2017,Toronto Raptors,/teams/TOR/2017.html
2017,Cleveland Cavaliers,/teams/CLE/2017.html
2017,Boston Celtics,/teams/BOS/2017.html
2017,Washington Wizards,/teams/WAS/2017.html
2017,Oklahoma City Thunder,/teams/OKC/2017.html
2017,Memphis Grizzlies,/teams/MEM/2017.html
2017,Miami Heat,/teams/MIA/2017.html
2017,Denver Nuggets,/teams/DEN/2017.html
2017,Charlotte Hornets,/teams/CHO/2017.html
2017,Chicago Bulls,/teams/CHI/2017.html
2017,Portland Trail Blazers,/teams/POR/2017.html
2017,Milwaukee Bucks,/teams/MIL/2017.html
2017,Indiana Pacers,/teams/IND/2017.html
2017,Minnesota Timberwolves,/teams/MIN/2017.html
2017,Atlanta Hawks,/teams/ATL/2017.html
2017,Detroit Pistons,/teams/DET/2017.html
2017,New Orleans Pelicans,/teams/NOP/2017.html
2017,Dallas Mavericks,/teams/DAL/2017.html
2017,Sacramento Kings,/teams/SAC/2017.html
2017,New York Knicks,/teams/NYK/2017.html
2017,Phoenix Suns,/teams/PHO/2017.html
2017,Philadelphia 76ers,/teams/PHI/2017.html
2017,Los Angeles Lakers,/teams/LAL/2017.html
2017,Brooklyn Nets,/teams/BRK/2017.html
2017,Orlando Magic,/teams/ORL/2017.html
2018,Houston Rockets,/teams/HOU/2018.html
2018,Toronto Raptors,/teams/TOR/2018.html
2018,Golden State Warriors,/teams/GSW/2018.html
2018,Utah Jazz,/teams/UTA/2018.html
2018,Philadelphia 76ers,/teams/PHI/2018.html
2018,Oklahoma City Thunder,/teams/OKC/2018.html
2018,Boston Celtics,/teams/BOS/2018.html
2018,San Antonio Spurs,/teams/SAS/2018.html
2018,Portland Trail Blazers,/teams/POR/2018.html
2018,Minnesota Timberwolves,/teams/MIN/2018.html
2018,Denver Nuggets,/teams/DEN/2018.html
2018,New Orleans Pelicans,/teams/NOP/2018.html
2018,Indiana Pacers,/teams/IND/2018.html
2018,Cleveland Cavaliers,/teams/CLE/2018.html
2018,Washington Wizards,/teams/WAS/2018.html
2018,Miami Heat,/teams/MIA/2018.html
2018,Los Angeles Clippers,/teams/LAC/2018.html
2018,Charlotte Hornets,/teams/CHO/2018.html
2018,Detroit Pistons,/teams/DET/2018.html
2018,Milwaukee Bucks,/teams/MIL/2018.html
2018,Los Angeles Lakers,/teams/LAL/2018.html
2018,Dallas Mavericks,/teams/DAL/2018.html
2018,New York Knicks,/teams/NYK/2018.html
2018,Brooklyn Nets,/teams/BRK/2018.html
2018,Orlando Magic,/teams/ORL/2018.html
2018,Atlanta Hawks,/teams/ATL/2018.html
2018,Memphis Grizzlies,/teams/MEM/2018.html
2018,Chicago Bulls,/teams/CHI/2018.html
2018,Sacramento Kings,/teams/SAC/2018.html
2018,Phoenix Suns,/teams/PHO/2018.html
2019,Milwaukee Bucks,/teams/MIL/2019.html
2019,Golden State Warriors,/teams/GSW/2019.html
2019,Toronto Raptors,/teams/TOR/2019.html
2019,Utah Jazz,/teams/UTA/2019.html
2019,Houston Rockets,/teams/HOU/2019.html
2019,Portland Trail Blazers,/teams/POR/2019.html
2019,Denver Nuggets,/teams/DEN/2019.html
2019,Boston Celtics,/teams/BOS/2019.html
2019,Oklahoma City Thunder,/teams/OKC/2019.html
2019,Indiana Pacers,/teams/IND/2019.html
2019,Philadelphia 76ers,/teams/PHI/2019.html
2019,San Antonio Spurs,/teams/SAS/2019.html
2019,Los Angeles Clippers,/teams/LAC/2019.html
2019,Orlando Magic,/teams/ORL/2019.html
2019,Miami Heat,/teams/MIA/2019.html
2019,Brooklyn Nets,/teams/BRK/2019.html
2019,Detroit Pistons,/teams/DET/2019.html
2019,Sacramento Kings,/teams/SAC/2019.html
2019,Dallas Mavericks,/teams/DAL/2019.html
2019,Minnesota Timberwolves,/teams/MIN/2019.html
2019,New Orleans Pelicans,/teams/NOP/2019.html
2019,Los Angeles Lakers,/teams/LAL/2019.html
2019,Charlotte Hornets,/teams/CHO/2019.html
2019,Memphis Grizzlies,/teams/MEM/2019.html
2019,Washington Wizards,/teams/WAS/2019.html
2019,Atlanta Hawks,/teams/ATL/2019.html
2019,Chicago Bulls,/teams/CHI/2019.html
2019,Phoenix Suns,/teams/PHO/2019.html
2019,New York Knicks,/teams/NYK/2019.html
2019,Cleveland Cavaliers,/teams/CLE/2019.html
2020,Milwaukee Bucks,/teams/MIL/2020.html
2020,Los Angeles Clippers,/teams/LAC/2020.html
2020,Los Angeles Lakers,/teams/LAL/2020.html
2020,Toronto Raptors,/teams/TOR/2020.html
2020,Boston Celtics,/teams/BOS/2020.html
2020,Dallas Mavericks,/teams/DAL/2020.html
2020,Houston Rockets,/teams/HOU/2020.html
2020,Utah Jazz,/teams/UTA/2020.html
2020,Miami Heat,/teams/MIA/2020.html
2020,Oklahoma City Thunder,/teams/OKC/2020.html
2020,Denver Nuggets,/teams/DEN/2020.html
2020,Philadelphia 76ers,/teams/PHI/2020.html
2020,Indiana Pacers,/teams/IND/2020.html
2020,Phoenix Suns,/teams/PHO/2020.html
2020,New Orleans Pelicans,/teams/NOP/2020.html
2020,Portland Trail Blazers,/teams/POR/2020.html
2020,San Antonio Spurs,/teams/SAS/2020.html
2020,Memphis Grizzlies,/teams/MEM/2020.html
2020,Brooklyn Nets,/teams/BRK/2020.html
2020,Orlando Magic,/teams/ORL/2020.html
2020,Sacramento Kings,/teams/SAC/2020.html
2020,Minnesota Timberwolves,/teams/MIN/2020.html
2020,Chicago Bulls,/teams/CHI/2020.html
2020,Detroit Pistons,/teams/DET/2020.html
2020,Washington Wizards,/teams/WAS/2020.html
2020,New York Knicks,/teams/NYK/2020.html
2020,Charlotte Hornets,/teams/CHO/2020.html
2020,Atlanta Hawks,/teams/ATL/2020.html
2020,Cleveland Cavaliers,/teams/CLE/2020.html
2020,Golden State Warriors,/teams/GSW/2020.html
2021,Utah Jazz,/teams/UTA/2021.html
2021,Los Angeles Clippers,/teams/LAC/2021.html
2021,Phoenix Suns,/teams/PHO/2021.html
2021,Milwaukee Bucks,/teams/MIL/2021.html
2021,Philadelphia 76ers,/teams/PHI/2021.html
2021,Denver Nuggets,/teams/DEN/2021.html
2021,Brooklyn Nets,/teams/BRK/2021.html
2021,Los Angeles Lakers,/teams/LAL/2021.html
2021,Dallas Mavericks,/teams/DAL/2021.html
2021,New York Knicks,/teams/NYK/2021.html
2021,Atlanta Hawks,/teams/ATL/2021.html
2021,Portland Trail Blazers,/teams/POR/2021.html
2021,Boston Celtics,/teams/BOS/2021.html
2021,Golden State Warriors,/teams/GSW/2021.html
2021,Memphis Grizzlies,/teams/MEM/2021.html
2021,Miami Heat,/teams/MIA/2021.html
2021,Indiana Pacers,/teams/IND/2021.html
2021,New Orleans Pelicans,/teams/NOP/2021.html
2021,Toronto Raptors,/teams/TOR/2021.html
2021,Chicago Bulls,/teams/CHI/2021.html
2021,San Antonio Spurs,/teams/SAS/2021.html
2021,Washington Wizards,/teams/WAS/2021.html
2021,Charlotte Hornets,/teams/CHO/2021.html
2021,Sacramento Kings,/teams/SAC/2021.html
2021,Detroit Pistons,/teams/DET/2021.html
2021,Minnesota Timberwolves,/teams/MIN/2021.html
2021,Houston Rockets,/teams/HOU/2021.html
2021,Cleveland Cavaliers,/teams/CLE/2021.html
2021,Orlando Magic,/teams/ORL/2021.html
2021,Oklahoma City Thunder,/teams/OKC/2021.html
2022,Boston Celtics,/teams/BOS/2022.html
2022,Phoenix Suns,/teams/PHO/2022.html
